U,V,W,T_SONIC,CO2,H2O,SA_DIAG,GA_DIAG,T_CELL,T_CELL_IN,T_CELL_OUT,PRESS_CELL
-2.39604,4.67842,-0.724643,301.811,350.306,15.8752,8,8191,28.6342,30.9228,28.062,96.8941
-2.82119,4.36764,-0.481794,301.785,350.291,15.8668,9,8191,28.6571,30.8931,28.0982,96.899
-3.09981,4.33522,-0.642372,301.703,350.186,15.8686,10,8191,28.6581,30.908,28.0957,96.9026
-3.17333,4.38644,-0.378071,301.76,350.12,15.872,1,8191,28.6452,30.908,28.0795,96.908
-3.09538,4.56494,-0.129945,301.841,349.903,15.8705,2,8191,28.6442,30.8931,28.082,96.9026
-1.78881,4.98019,-0.165816,301.861,350.041,15.8751,3,8191,28.6113,30.898,28.0396,96.9008
-1.62304,4.78186,-0.361065,301.828,350.212,15.8815,4,8191,28.5934,30.903,28.016,96.9073
-1.7741,4.97903,-0.497862,301.809,350.143,15.8815,5,8191,28.6484,30.8993,28.0857,96.8966
-2.00074,5.07568,-0.360845,301.87,350.117,15.8914,6,8191,28.6066,30.8894,28.0359,96.896
-2.58779,4.85435,-0.678147,301.87,350.066,15.8877,7,8191,28.6133,30.908,28.0396,96.896
-2.49306,4.69385,-0.621818,301.955,350.088,15.8888,8,8191,28.5994,30.8881,28.0272,96.896
-2.48606,4.85116,-0.663847,301.865,350.086,15.8872,9,8191,28.6444,30.9042,28.0795,96.9026
-3.01367,4.67339,-0.432363,301.684,350.028,15.9028,10,8191,28.6093,30.908,28.0346,96.9026
-3.02124,4.9406,-0.445147,301.735,349.885,15.9084,1,8191,28.6235,30.9102,28.0518,96.899
-3.04624,4.7217,-0.288688,301.741,349.804,15.9198,2,8191,28.5851,30.9166,28.0023,96.8973
-2.95567,4.70304,-0.291737,301.714,349.854,15.912,3,8191,28.619,30.9464,28.0371,96.9061
-2.81882,4.75428,-0.354586,301.846,350.376,15.9254,4,8191,28.619,30.9365,28.0396,96.902
-2.84861,4.60351,-0.509683,301.771,350.161,15.907,5,8191,28.6307,30.9253,28.0571,96.8925
-2.9019,4.08939,-0.778047,301.68,350.099,15.9066,6,8191,28.6036,30.9092,28.0272,96.896
-2.80048,4.20032,-0.747061,301.684,349.917,15.9133,7,8191,28.6255,30.929,28.0496,96.8941
-3.05547,4.11487,-0.963829,301.689,350.011,15.9211,8,8191,28.6357,30.9303,28.062,96.8984
-3.08824,4.22034,-1.11484,301.739,349.99,15.9276,9,8191,28.6751,30.9228,28.1131,96.8931
-3.11084,4.13034,-0.915754,301.784,350.148,15.9178,10,8191,28.6855,30.9055,28.1305,96.8943
-2.97075,3.9972,-0.668079,301.75,350.209,15.9047,1,8191,28.6601,30.9179,28.0957,96.8998
-3.05739,4.17879,-0.939449,301.797,350.177,15.907,2,8191,28.632,30.8918,28.067,96.9033
-3.07621,4.10733,-1.1627,301.83,350.161,15.8978,3,8191,28.5916,30.9042,28.0135,96.8986
-3.47654,4.29087,-1.39222,301.784,350.11,15.8964,4,8191,28.5792,30.9077,27.997,96.902
-3.27499,4.31878,-1.46393,301.759,350.106,15.8911,5,8191,28.6003,30.9129,28.0222,96.8953
-3.1326,4.12336,-1.45029,301.794,350.14,15.8938,6,8191,28.6499,30.9216,28.082,96.9002
-3.31698,4.19834,-1.64218,301.739,350.163,15.8919,7,8191,28.5968,30.9303,28.0135,96.8941
-3.29801,4.23038,-1.15961,301.842,350.191,15.8978,8,8191,28.6175,30.9191,28.0421,96.8935
-3.08488,4.37489,-1.19308,301.767,350.097,15.8884,9,8191,28.6055,30.929,28.0247,96.8955
-3.19081,4.35963,-1.16784,301.674,350.17,15.894,10,8191,28.6021,30.9166,28.0234,96.8937
-3.08165,4.4994,-1.1117,301.725,350.049,15.888,1,8191,28.62,30.9018,28.0496,96.9063
-3.4936,4.34727,-1.56334,301.668,350.071,15.899,2,8191,28.5831,30.9176,27.9995,96.9045
-3.26865,4.19243,-1.441,301.681,350.274,15.8996,3,8191,28.5851,30.9226,28.0008,96.9014
-3.11138,4.23291,-1.25765,301.647,350.323,15.8951,4,8191,28.6243,30.9139,28.0518,96.9014
-2.86637,4.11598,-0.93617,301.759,350.246,15.8912,5,8191,28.6043,30.898,28.0309,96.9002
-2.69137,3.81742,-1.23684,301.711,350.304,15.8866,6,8191,28.5767,30.9052,27.9945,96.8978
-2.73241,3.61135,-1.28486,301.654,350.329,15.8811,7,8191,28.5968,30.9164,28.017,96.9008
-2.70166,3.56658,-0.864044,301.754,350.283,15.8839,8,8191,28.6056,30.8993,28.0321,96.902
-2.86633,4.25925,-0.965239,301.779,350.203,15.8773,9,8191,28.6228,30.9015,28.0531,96.9004
-2.78894,4.29234,-1.17182,301.772,350.278,15.8845,10,8191,28.5824,30.903,28.0023,96.9063
-2.78055,4.34196,-1.05718,301.78,350.208,15.8815,1,8191,28.6263,30.8941,28.0593,96.9034
-2.69473,4.47756,-0.961931,301.762,350.309,15.884,2,8191,28.5772,30.8918,27.9985,96.9014
-2.77431,4.39619,-1.01092,301.769,350.225,15.8811,3,8191,28.5986,30.9201,28.0182,96.8925
-2.93308,4.15969,-0.797269,301.768,350.187,15.8817,4,8191,28.6272,30.9238,28.0531,96.8967
-3.33525,4.30894,-0.929027,301.741,350.161,15.8837,5,8191,28.6063,30.9437,28.0219,96.9033
-3.3908,4.29167,-1.10221,301.721,350.184,15.8834,6,8191,28.5976,30.94,28.012,96.9014
-3.24858,4.36683,-1.14858,301.695,350.141,15.8778,7,8191,28.6193,30.9338,28.0406,96.902
-3.25564,4.6285,-1.34483,301.725,350.16,15.8843,8,8191,28.5939,30.9065,28.0157,96.902
-2.97783,4.92051,-1.24578,301.71,350.125,15.882,9,8191,28.6131,30.868,28.0493,96.9087
-3.12723,4.62989,-1.51573,301.684,350.126,15.881,10,8191,28.6151,30.8978,28.0444,96.9008
-3.02074,4.91603,-1.33397,301.72,350.142,15.8809,1,8191,28.6357,30.9313,28.0618,96.8966
-3.01207,4.66644,-1.27611,301.747,350.121,15.8797,2,8191,28.5978,30.9214,28.017,96.8984
-2.7668,4.84763,-0.881708,301.789,350.17,15.8804,3,8191,28.5802,30.9028,27.9995,96.8905
-2.88155,4.94953,-0.759643,301.773,350.25,15.8799,4,8191,28.5839,30.9164,28.0008,96.8935
-2.58809,4.8086,-0.598099,301.805,350.146,15.8746,5,8191,28.6055,30.9449,28.0207,96.8917
-2.49727,4.74686,-0.170927,301.791,350.159,15.8723,6,8191,28.619,30.9424,28.0381,96.899
-2.93753,4.82629,-0.236119,301.805,350.043,15.8735,7,8191,28.5983,30.9139,28.0194,96.9006
-2.46538,5.13948,0.113664,301.83,350.097,15.8821,8,8191,28.5667,30.9201,27.9783,96.902
-2.6062,5.01763,0.0494449,301.805,350.079,15.8786,9,8191,28.6195,30.9251,28.0431,96.9014
-3.2409,4.77295,-0.0169304,301.789,350.094,15.8854,10,8191,28.6073,30.9288,28.0269,96.9014
-3.23975,5.29779,-0.34945,301.799,350.072,15.8852,1,8191,28.6136,30.8953,28.0431,96.8972
-3.16352,5.13952,-0.40029,301.787,350.082,15.8841,2,8191,28.6051,30.9276,28.0244,96.8972
-3.20359,4.94195,-0.295451,301.735,350.139,15.8837,3,8191,28.5851,30.9077,28.0045,96.8906
-3.03597,5.04307,0.199929,301.8,350.18,15.8884,4,8191,28.5724,30.899,27.9908,96.887
-2.80583,4.72578,0.128458,301.82,350.171,15.8939,5,8191,28.6203,30.8842,28.0543,96.8894
-2.85055,4.7565,-0.109562,301.829,350.248,15.8934,6,8191,28.636,30.9176,28.0655,96.8874
-2.90728,4.79739,-0.161137,301.825,350.2,15.8895,7,8191,28.6922,30.935,28.1316,96.8913
-2.84531,4.68495,-0.0801059,301.807,350.151,15.8866,8,8191,28.6514,30.93,28.0817,96.8888
-2.40486,4.60502,-0.177739,301.795,350.219,15.8826,9,8191,28.6051,30.9176,28.0269,96.8876
-2.17844,5.12649,-0.00782187,301.818,350.054,15.8827,10,8191,28.6163,30.909,28.0431,96.8894
-2.14551,5.33699,-0.369533,301.756,350.014,15.8794,1,8191,28.6143,30.9338,28.0344,96.899
-2.17773,5.34369,-0.492579,301.645,350.114,15.8872,2,8191,28.607,30.9424,28.0232,96.9039
-2.65707,5.42078,-0.779171,301.605,350.079,15.8801,3,8191,28.6006,30.9251,28.0194,96.8949
-3.06084,5.11712,-0.67807,301.597,350.05,15.8884,4,8191,28.6133,30.9437,28.0307,96.8949
-3.06355,5.18529,-0.946581,301.525,350.225,15.886,5,8191,28.6302,30.9685,28.0456,96.9045
-3.43537,5.30922,-0.646836,301.591,350.324,15.8843,6,8191,28.626,30.9325,28.0493,96.8966
-2.8285,5.01316,-0.237733,301.565,350.424,15.8755,7,8191,28.6315,30.94,28.0543,96.8978
-2.12934,5.75384,-0.425579,301.617,350.283,15.8714,8,8191,28.6372,30.9288,28.0643,96.8941
-2.50845,5.78724,-0.606063,301.626,350.387,15.8711,9,8191,28.6285,30.9251,28.0543,96.8935
-2.7714,5.39546,-0.700276,301.559,350.412,15.8579,10,8191,28.628,30.9375,28.0506,96.8923
-2.91402,5.34037,-0.707911,301.554,350.462,15.8571,1,8191,28.6195,30.94,28.0394,96.8984
-2.78703,5.10663,-0.763474,301.522,350.428,15.8593,2,8191,28.6307,30.9214,28.0581,96.9006
-2.88577,5.1332,-0.677158,301.495,350.297,15.8558,3,8191,28.6564,30.94,28.0855,96.8941
-2.68958,5.44055,-0.510148,301.534,350.304,15.8557,4,8191,28.6193,30.9288,28.0419,96.8919
-2.77741,5.46571,-0.761701,301.564,350.373,15.8574,5,8191,28.6053,30.9437,28.0207,96.896
-2.53479,5.16316,-1.17102,301.553,350.501,15.8547,6,8191,28.6133,30.9387,28.0319,96.8925
-2.90029,5.32628,-0.902489,301.5,350.431,15.8547,7,8191,28.6613,30.94,28.0917,96.8931
-2.75053,5.3662,-0.943779,301.502,350.397,15.8495,8,8191,28.6325,30.9201,28.0606,96.8953
-2.67486,5.43005,-0.934157,301.471,350.41,15.8503,9,8191,28.632,30.9276,28.0581,96.8935
-2.99792,5.19651,-0.401312,301.496,350.404,15.8453,10,8191,28.6579,30.9325,28.0892,96.8929
-2.67991,5.3053,-0.332734,301.553,350.467,15.8481,1,8191,28.6454,30.9201,28.0767,96.8882
-2.72952,5.1868,-0.385607,301.511,350.395,15.8447,2,8191,28.6103,30.9189,28.0332,96.8899
-2.78787,4.97781,-0.459112,301.56,350.454,15.8386,3,8191,28.6145,30.94,28.0332,96.888
