U,V,W,T_SONIC,CO2,H2O,SA_DIAG,GA_DIAG,T_CELL,T_CELL_IN,T_CELL_OUT,PRESS_CELL
-3.0133,2.4901,-1.72086,301.863,349.671,16.0639,9,8191,29.2339,31.7008,28.6172,96.9009
-3.21671,2.65473,-1.54771,302.049,349.674,16.0667,10,8191,29.2484,31.6984,28.6359,96.9003
-3.61168,2.2486,-1.48409,302.104,349.786,16.0673,1,8191,29.2389,31.7058,28.6222,96.8985
-3.22039,2.2156,-1.38874,302.144,350.081,16.0564,2,8191,29.2118,31.7244,28.5836,96.8948
-3.0249,2.49,-1.38037,302.054,350.214,16.0441,3,8191,29.2299,31.7107,28.6097,96.896
-3.22879,2.52029,-1.3311,302.038,350.181,16.038,4,8191,29.2665,31.7145,28.6545,96.8972
-3.09746,2.45483,-1.23482,302.026,349.747,16.0499,5,8191,29.2417,31.6996,28.6272,96.896
-3.01975,2.30026,-1.21135,302.016,349.661,16.0721,6,8191,29.2367,31.7095,28.6185,96.9015
-2.89944,2.32161,-1.34257,301.89,349.599,16.079,7,8191,29.2742,31.733,28.6595,96.9003
-2.90032,2.32202,-1.6041,302.007,349.932,16.08,8,8191,29.2359,31.6959,28.6209,96.9003
-2.90187,2.4682,-1.4718,302.097,349.888,16.0775,9,8191,29.2944,31.6897,28.6956,96.8956
-3.39137,2.19692,-1.39983,301.974,349.959,16.0739,10,8191,29.2847,31.7157,28.6769,96.9009
-3.26371,2.19239,-1.59286,302.013,350.109,16.0706,1,8191,29.2593,31.7132,28.6458,96.8942
-3.25593,2.02861,-1.63885,302.068,350.011,16.0543,2,8191,29.2855,31.6897,28.6844,96.8877
-3.46194,2.39314,-1.33143,302.038,349.834,16.0692,3,8191,29.2636,31.6996,28.6545,96.8877
-3.31854,2.51268,-1.39869,301.998,349.849,16.0726,4,8191,29.2715,31.6748,28.6707,96.8887
-3.23706,2.54247,-1.49602,301.952,349.987,16.0657,5,8191,29.2623,31.6785,28.6583,96.8887
-3.4535,2.43548,-1.82826,302.015,349.956,16.0737,6,8191,29.2835,31.6946,28.6807,96.8871
-3.6967,2.18456,-1.70746,302.056,349.794,16.0744,7,8191,29.3079,31.6971,28.7105,96.8912
-3.64599,1.90854,-1.58556,302.047,349.83,16.0839,8,8191,29.2596,31.6996,28.6496,96.8942
-3.87795,1.81409,-1.40836,301.983,349.881,16.0789,9,8191,29.2932,31.7132,28.6881,96.8907
-3.93486,1.90952,-1.41424,301.974,349.838,16.0772,10,8191,29.2685,31.7303,28.6531,96.9015
-3.99974,1.96159,-1.34202,302.008,349.678,16.073,1,8191,29.2511,31.712,28.6359,96.8936
-4.14421,1.9408,-1.2864,301.918,349.729,16.0807,2,8191,29.2494,31.6884,28.6396,96.8942
-4.18661,1.98331,-1.21099,301.886,349.947,16.0846,3,8191,29.2534,31.6984,28.6421,96.8948
-4.11439,1.7943,-1.12605,301.92,350.062,16.0729,4,8191,29.2805,31.7194,28.6707,96.8918
-3.99448,1.69095,-0.935227,301.964,349.934,16.0715,5,8191,29.2971,31.7132,28.6931,96.8881
-3.96857,1.75981,-1.09546,301.851,350.052,16.0617,6,8191,29.2855,31.6946,28.6832,96.8905
-4.05369,1.71538,-1.01292,301.897,350.178,16.0463,7,8191,29.2307,31.66,28.6234,96.8893
-4.40803,1.58307,-0.898371,301.581,350.154,16.0391,8,8191,29.2437,31.6847,28.6334,96.8942
-4.17833,1.2556,-0.906517,301.353,350.1,16.0325,9,8191,29.2387,31.7045,28.6222,96.8863
-4.01354,1.5446,-1.19538,301.466,350.254,16.0261,10,8191,29.219,31.7058,28.5973,96.8792
-4.0077,1.50461,-1.25585,301.443,350.185,16.0078,1,8191,29.2573,31.7083,28.6446,96.8816
-3.98418,1.38261,-1.22814,301.468,350.636,15.9845,2,8191,29.2315,31.6934,28.616,96.8785
-3.85189,1.35564,-1.30418,301.457,351.168,15.9146,3,8191,29.2375,31.6696,28.6294,96.8785
-3.80428,1.20926,-1.25281,301.683,351.197,15.8689,4,8191,29.2285,31.6984,28.611,96.8875
-3.59054,1.5037,-1.17651,301.811,351.23,15.8449,5,8191,29.2342,31.6981,28.6182,96.8846
-3.4382,1.54379,-1.70902,301.881,351.313,15.8331,6,8191,29.2807,31.7117,28.673,96.8877
-3.2578,1.50978,-2.5275,301.881,351.143,15.8214,7,8191,29.2504,31.6895,28.6406,96.8871
-2.79066,1.70831,-2.45945,301.808,350.924,15.8359,8,8191,29.234,31.682,28.622,96.896
-2.89901,1.63388,-2.16918,301.894,350.303,15.8534,9,8191,29.2949,31.6922,28.6956,96.8948
-2.63184,1.42559,-1.94646,302.018,350.241,15.8786,10,8191,29.2865,31.6847,28.6869,96.8913
-2.65652,1.45304,-1.97717,302.012,350.127,15.9149,1,8191,29.2529,31.6761,28.6471,96.8954
-2.56881,1.34631,-2.06574,302.067,350.145,15.9324,2,8191,29.2977,31.687,28.7004,96.8932
-2.40735,1.32568,-2.24624,302.047,350.359,15.9349,3,8191,29.2708,31.6959,28.6645,96.8948
-2.46072,1.39342,-2.43493,302.015,350.197,15.9458,4,8191,29.2601,31.7031,28.6493,96.8924
-2.38058,1.38073,-2.50797,302.077,350.148,15.9613,5,8191,29.2437,31.7006,28.6294,96.8899
-2.55354,1.44337,-2.85968,301.956,349.961,15.9683,6,8191,29.2539,31.6721,28.6493,96.8887
-2.13135,1.37801,-3.02657,301.982,349.953,15.9965,7,8191,29.2357,31.6996,28.6197,96.8901
-2.26202,1.37502,-2.84628,301.939,349.85,16.0096,8,8191,29.2832,31.7093,28.6767,96.8979
-2.42985,1.4064,-3.18775,301.819,349.794,16.015,9,8191,29.2658,31.687,28.6605,96.896
-2.51485,1.18311,-3.36406,301.777,349.88,16.027,10,8191,29.229,31.681,28.616,96.8997
-2.66617,1.1686,-2.9406,301.849,349.86,16.0268,1,8191,29.232,31.686,28.6185,96.8889
-3.00454,1.21638,-3.12363,301.815,350.196,16.0265,2,8191,29.2432,31.6833,28.6332,96.8985
-3.09775,1.41918,-3.20004,301.514,350.174,16.0171,3,8191,29.2763,31.6746,28.6767,96.896
-3.23082,1.64363,-3.16208,301.533,350.298,16.0001,4,8191,29.2822,31.6785,28.6832,96.8881
-3.17242,1.56062,-3.22038,301.644,350.274,15.9853,5,8191,29.2982,31.6845,28.7016,96.8857
-2.9737,1.40594,-3.26072,301.605,350.485,15.9772,6,8191,29.2773,31.6944,28.673,96.8851
-2.73243,1.21923,-3.29449,301.728,350.77,15.924,7,8191,29.2404,31.7142,28.622,96.8863
-2.9825,1.33399,-2.90433,301.677,351.128,15.8703,8,8191,29.2195,31.6934,28.601,96.8912
-2.96118,1.21665,-2.72915,301.693,350.913,15.8394,9,8191,29.2974,31.6808,28.7016,96.8918
-3.24457,1.3096,-2.45378,301.732,351.117,15.7944,10,8191,29.2812,31.6944,28.678,96.893
-3.29727,1.60604,-2.79805,301.695,350.785,15.7719,1,8191,29.2389,31.682,28.6282,96.8899
-3.53145,1.38516,-2.88516,301.703,350.547,15.8015,2,8191,29.2494,31.6884,28.6396,96.8995
-3.41462,1.30976,-2.68222,301.715,350.464,15.8143,3,8191,29.2302,31.6932,28.6145,96.8893
-3.52421,1.33348,-2.76237,301.55,350.503,15.8215,4,8191,29.2352,31.6734,28.6257,96.8899
-3.6306,1.3138,-2.88198,301.303,350.719,15.8236,5,8191,29.2407,31.7155,28.622,96.8922
-3.62752,1.35875,-2.96713,301.246,350.913,15.8,6,8191,29.2519,31.6721,28.6468,96.8845
-3.64639,1.38692,-2.97784,301.422,350.896,15.7835,7,8191,29.2317,31.6659,28.6232,96.8873
-3.7255,1.38353,-3.03895,301.466,350.88,15.7617,8,8191,29.234,31.6771,28.6232,96.8826
-3.70274,1.63944,-2.90526,302.074,351.308,15.7351,9,8191,29.2158,31.6758,28.6008,96.8875
-3.57282,1.42695,-2.94551,302.088,351.467,15.6834,10,8191,29.2414,31.6696,28.6344,96.8802
-3.72969,1.5165,-2.8939,302.141,351.727,15.6493,1,8191,29.2603,31.6895,28.6531,96.8881
-3.68332,1.56138,-3.08657,302.083,351.098,15.627,2,8191,29.2496,31.7105,28.6344,96.8838
-3.63527,1.62092,-3.17619,301.997,350.954,15.6466,3,8191,29.2031,31.7068,28.5772,96.891
-3.77529,1.7175,-3.39756,302.104,350.268,15.7023,4,8191,29.216,31.7117,28.5921,96.8869
-3.96751,1.48144,-3.04592,302.108,349.868,15.7732,5,8191,29.2185,31.7192,28.5933,96.8832
-3.94063,1.48999,-3.12568,301.986,350.053,15.8287,6,8191,29.2486,31.6956,28.6369,96.8857
-3.91472,1.24035,-3.40071,302.086,350.107,15.8535,7,8191,29.2673,31.6994,28.6593,96.8832
-4.58813,1.51814,-3.37352,302.206,349.91,15.8811,8,8191,29.2909,31.713,28.6854,96.879
-4.24485,1.68233,-3.62062,302.208,349.827,15.9214,9,8191,29.2691,31.6932,28.663,96.879
-3.77312,1.60747,-3.81105,302.21,349.797,15.9436,10,8191,29.3176,31.6969,28.7227,96.8784
-4.09709,1.83079,-3.82888,302.287,349.85,15.9625,1,8191,29.2681,31.6833,28.6643,96.882
-4.08452,1.65633,-3.74951,302.33,349.791,15.9812,2,8191,29.2825,31.6857,28.6817,96.8802
-3.70512,1.68914,-3.35909,302.3,349.666,15.9988,3,8191,29.2686,31.6758,28.6668,96.8808
-3.88558,1.81302,-2.85073,302.229,349.627,16.0227,4,8191,29.2755,31.6907,28.6717,96.8834
-4.45399,1.66116,-2.60705,302.24,349.489,16.0348,5,8191,29.289,31.6723,28.6931,96.8834
-4.36591,2.08431,-2.36628,302.255,349.466,16.0593,6,8191,29.2691,31.6684,28.6692,96.8846
-4.24049,2.14059,-2.23131,302.251,349.394,16.0742,7,8191,29.2658,31.682,28.6618,96.8828
-4.06363,1.58935,-2.5521,302.265,349.391,16.0818,8,8191,29.2942,31.6994,28.6929,96.8924
-4.11634,1.70424,-2.89746,302.253,349.395,16.0907,9,8191,29.2902,31.7043,28.6867,96.8845
-4.64914,1.87934,-2.91135,302.264,349.465,16.1002,10,8191,29.2372,31.708,28.6195,96.8779
-4.62705,2.02505,-2.61971,302.292,349.5,16.1085,1,8191,29.2499,31.7018,28.6369,96.8773
-4.26847,2.22049,-2.97704,302.295,349.373,16.1109,2,8191,29.2531,31.708,28.6394,96.8749
-4.16718,2.57122,-2.72962,302.328,349.319,16.1218,3,8191,29.2225,31.6944,28.6045,96.8765
-4.02387,2.75906,-2.70787,302.314,349.482,16.1267,4,8191,29.2243,31.6833,28.6095,96.8725
-3.95363,2.64418,-2.74874,302.294,349.328,16.1292,5,8191,29.2285,31.6647,28.6195,96.8725
-3.91276,2.8511,-2.58163,302.286,349.344,16.1374,6,8191,29.2389,31.6919,28.6257,96.8712
-3.85083,2.9642,-2.8044,302.27,349.311,16.1435,7,8191,29.2516,31.7105,28.6369,96.8755
-4.2355,3.13476,-2.5963,302.283,349.286,16.1581,8,8191,29.2417,31.7105,28.6244,96.8718
-4.00011,3.28766,-2.5697,302.32,349.316,16.1598,9,8191,29.2233,31.6734,28.6108,96.872
-3.89669,3.281,-2.18953,302.346,349.297,16.1662,10,8191,29.2205,31.6746,28.607,96.8767
-3.90218,3.42763,-1.95139,302.343,349.277,16.1679,1,8191,29.2359,31.6969,28.6207,96.8828
-3.84051,3.17845,-2.0588,302.306,349.268,16.1759,2,8191,29.2481,31.708,28.6332,96.8793
-3.71292,3.15816,-2.32067,302.311,349.154,16.1798,3,8191,29.2486,31.6956,28.6369,96.8865
-3.65431,2.80868,-2.46635,302.295,349.096,16.1851,4,8191,29.2506,31.6956,28.6394,96.8932
-4.10651,3.12929,-2.29299,302.331,349.232,16.1979,5,8191,29.2509,31.6919,28.6406,96.8899
-4.01011,3.24948,-2.4225,302.347,349.344,16.2013,6,8191,29.2952,31.7043,28.6929,96.8866
-3.80731,2.91087,-2.35696,302.339,349.216,16.2032,7,8191,29.2783,31.6994,28.673,96.8769
-3.88104,3.12164,-2.58241,302.351,349.366,16.2097,8,8191,29.2671,31.6634,28.668,96.8781
-3.99296,3.27082,-2.7669,302.388,349.108,16.2003,9,8191,29.2793,31.6498,28.6867,96.8757
-3.69374,3.69866,-3.18307,302.354,349.218,16.2162,10,8191,29.2205,31.6994,28.6008,96.8781
-3.23543,3.6776,-3.23617,302.319,349.269,16.2103,1,8191,29.2626,31.7006,28.6531,96.8781
-3.14767,3.65866,-3.0656,302.331,349.302,16.2172,2,8191,29.2571,31.7229,28.6406,96.8781
-2.64189,3.48836,-3.0229,302.31,349.115,16.2195,3,8191,29.3041,31.7093,28.7028,96.8769
-3.14245,3.6713,-3.1625,302.285,349.355,16.2215,4,8191,29.2638,31.7117,28.6518,96.8818
-3.55127,3.98585,-2.34391,302.32,349.238,16.2154,5,8191,29.2713,31.7192,28.6593,96.8752
-3.48856,3.94701,-2.34531,302.299,349.281,16.2174,6,8191,29.2611,31.7031,28.6506,96.8848
-3.24852,3.93189,-2.55555,302.256,349.274,16.2187,7,8191,29.219,31.687,28.602,96.8848
-3.332,4.22207,-2.38776,302.31,349.346,16.216,8,8191,29.2248,31.6659,28.6145,96.8866
-3.23897,4.1593,-2.74595,302.327,349.344,16.2105,9,8191,29.2798,31.6771,28.6804,96.8818
-3.1437,4.21981,-2.74588,302.342,349.329,16.2085,10,8191,29.2237,31.7055,28.6033,96.8819
-2.90373,3.93828,-2.61832,302.317,349.447,16.2018,1,8191,29.2185,31.6944,28.5996,96.8836
-3.14679,3.3249,-2.56332,302.263,349.306,16.2031,2,8191,29.2536,31.6808,28.6468,96.8811
-3.65799,2.62281,-2.60809,302.241,349.253,16.2116,3,8191,29.2334,31.7043,28.6157,96.8805
-3.73685,2.71308,-2.52643,302.25,349.333,16.2122,4,8191,29.2568,31.7018,28.6456,96.8805
-3.74288,2.66255,-2.53963,302.26,349.353,16.207,5,8191,29.2823,31.6795,28.6829,96.8738
-3.71158,2.75883,-2.78841,302.314,349.472,16.2047,6,8191,29.2608,31.687,28.6543,96.8775
-3.60603,2.93545,-2.51842,302.316,349.409,16.1995,7,8191,29.2529,31.6919,28.6431,96.8769
-3.26996,3.28905,-2.75037,302.391,349.335,16.1967,8,8191,29.2481,31.6981,28.6356,96.8751
-3.09925,2.97667,-2.60089,302.283,349.47,16.2011,9,8191,29.2576,31.6956,28.6481,96.8769
-3.80513,2.73302,-2.1835,302.285,349.442,16.2016,10,8191,29.2494,31.7142,28.6332,96.8745
-4.06249,2.86519,-2.56046,302.403,349.442,16.2024,1,8191,29.2633,31.6994,28.6543,96.8799
-3.96784,2.83463,-2.63643,302.43,349.41,16.2054,2,8191,29.2788,31.687,28.6767,96.8787
-3.91966,2.8601,-2.73123,302.406,349.492,16.202,3,8191,29.2892,31.6746,28.6929,96.8818
-3.95296,2.82601,-2.41597,302.399,349.473,16.2057,4,8191,29.2643,31.6944,28.6568,96.8777
-3.70243,3.29985,-2.30196,302.345,349.355,16.2007,5,8191,29.2474,31.6994,28.6344,96.8801
-3.59028,3.15654,-2.03983,302.325,349.362,16.2091,6,8191,29.277,31.6932,28.673,96.8771
-3.77166,2.85456,-2.01376,302.301,349.336,16.2169,7,8191,29.2944,31.7105,28.6904,96.8748
-3.75873,2.73911,-2.07235,302.316,349.32,16.2123,8,8191,29.3071,31.6895,28.7115,96.8826
-3.86919,2.4565,-1.91326,302.312,349.313,16.2044,9,8191,29.2546,31.6709,28.6506,96.8795
-3.91833,2.45419,-1.93904,302.321,349.462,16.207,10,8191,29.2078,31.6808,28.5896,96.8801
-3.83787,2.56113,-1.85503,302.4,349.295,16.1993,1,8191,29.224,31.6969,28.6058,96.8771
-3.983,2.22501,-2.03373,302.356,349.354,16.2034,2,8191,29.2278,31.6758,28.6157,96.8765
-3.85252,2.24044,-1.99604,302.393,349.392,16.2066,3,8191,29.2626,31.6758,28.6593,96.8789
-3.73926,2.48135,-1.81186,302.389,349.384,16.2073,4,8191,29.2686,31.6857,28.6643,96.8777
-3.65299,2.63424,-1.36352,302.372,349.393,16.2086,5,8191,29.2666,31.6808,28.663,96.8759
-3.37144,2.77383,-1.11696,302.324,349.388,16.208,6,8191,29.2755,31.7055,28.668,96.8777
-3.20624,2.94722,-1.05362,302.308,349.438,16.2124,7,8191,29.289,31.6882,28.6892,96.8718
-3.30193,3.07662,-1.36319,302.325,349.418,16.21,8,8191,29.2703,31.6746,28.6692,96.873
-3.43281,2.94203,-1.08727,302.292,349.394,16.2068,9,8191,29.2472,31.6783,28.6394,96.8789
-3.32507,2.83713,-1.31736,302.333,349.409,16.2132,10,8191,29.2745,31.6808,28.673,96.8795
-3.42275,2.98813,-1.38226,302.36,349.202,16.209,1,8191,29.2673,31.6647,28.668,96.8801
-3.50327,2.98574,-1.38006,302.357,349.353,16.2182,2,8191,29.2519,31.6721,28.6468,96.8846
-3.6455,3.11606,-1.49129,302.268,349.31,16.2122,3,8191,29.2429,31.7018,28.6282,96.8803
-3.5501,3.14203,-1.67323,302.232,349.294,16.2174,4,8191,29.2205,31.6845,28.6045,96.8852
-3.75449,3.1344,-1.74864,302.229,349.094,16.2203,5,8191,29.2427,31.6956,28.6294,96.8858
-3.46911,3.38259,-1.87481,302.234,349.291,16.2307,6,8191,29.2593,31.6895,28.6518,96.8864
-3.68325,3.2922,-1.99299,302.261,349.407,16.2264,7,8191,29.2872,31.6944,28.6854,96.8827
-3.64884,3.19673,-1.84078,302.29,349.506,16.2199,8,8191,29.3091,31.7043,28.7103,96.8839
-3.52951,3.68389,-1.72205,302.296,349.478,16.2085,9,8191,29.288,31.6783,28.6904,96.8862
-3.57106,3.79941,-1.66989,302.279,349.594,16.2004,10,8191,29.2691,31.6833,28.6655,96.8844
-3.47495,3.65884,-1.35762,302.255,349.52,16.2019,1,8191,29.2735,31.6808,28.6717,96.8862
-3.50843,3.5612,-1.57657,302.259,349.503,16.1941,2,8191,29.2835,31.6857,28.6829,96.8826
-3.46955,3.39565,-1.36221,302.251,349.401,16.1956,3,8191,29.274,31.6734,28.6742,96.8821
-3.41373,3.47371,-1.45196,302.266,349.43,16.1936,4,8191,29.2648,31.7018,28.6556,96.887
-3.35335,3.37205,-1.46696,302.273,349.469,16.1867,5,8191,29.2305,31.6944,28.6145,96.8882
-3.31129,3.45527,-1.37814,302.271,349.538,16.1915,6,8191,29.1884,31.6882,28.5635,96.8923
-3.25316,3.32109,-1.45125,302.246,349.358,16.1832,7,8191,29.2295,31.7043,28.6108,96.8882
-3.12995,3.39758,-1.53362,302.201,349.466,16.1919,8,8191,29.1964,31.6932,28.5722,96.8888
-3.31768,3.52742,-1.60371,302.226,349.396,16.1894,9,8191,29.2203,31.6882,28.6033,96.8815
-3.29206,3.3343,-1.71975,302.228,349.681,16.1926,10,8191,29.292,31.6833,28.6941,96.8823
-3.147,3.40537,-1.78359,302.224,349.601,16.1849,1,8191,29.3302,31.7204,28.7327,96.8805
-3.21224,3.71242,-1.84414,302.243,349.495,16.1779,2,8191,29.2902,31.6944,28.6892,96.8833
-3.50243,3.54631,-1.75629,302.246,349.678,16.1786,3,8191,29.2541,31.6783,28.6481,96.887
-3.47754,3.08031,-1.91386,302.241,349.711,16.1789,4,8191,29.3054,31.6956,28.7078,96.8846
-3.19237,2.96265,-1.88576,302.2,349.56,16.1752,5,8191,29.2713,31.7093,28.6618,96.8798
-2.84618,3.10617,-1.91005,302.239,349.595,16.1798,6,8191,29.2755,31.6758,28.6755,96.8894
-2.58659,3.27501,-1.73999,302.24,349.638,16.1737,7,8191,29.2663,31.6696,28.6655,96.8839
-2.67856,3.3371,-1.89255,302.208,349.494,16.1695,8,8191,29.2342,31.7031,28.617,96.8841
-2.93176,3.16834,-1.93485,302.26,349.56,16.1702,9,8191,29.2479,31.687,28.6381,96.8876
-3.05697,3.1343,-1.95605,302.221,349.602,16.1713,10,8191,29.2384,31.6845,28.6269,96.8882
-2.9658,3.04611,-1.87741,302.196,349.539,16.1698,1,8191,29.2427,31.6907,28.6307,96.8858
-2.84247,3.10175,-1.76676,302.191,349.553,16.166,2,8191,29.2486,31.7055,28.6344,96.8876
-2.98074,3.17443,-1.81608,302.185,349.617,16.1714,3,8191,29.2541,31.7179,28.6381,96.8833
-3.10611,3.06597,-1.6679,302.176,349.669,16.1671,4,8191,29.2785,31.6758,28.6792,96.8864
-3.20075,2.80741,-1.6846,302.188,349.691,16.1633,5,8191,29.2775,31.6956,28.673,96.8852
-3.16331,2.82689,-1.74177,302.137,349.725,16.1618,6,8191,29.2773,31.6845,28.6755,96.878
-3.00536,3.07806,-1.68596,302.094,349.648,16.1599,7,8191,29.2701,31.6882,28.6655,96.8835
-2.9626,2.9819,-1.69682,302.08,349.773,16.1556,8,8191,29.2344,31.7093,28.6157,96.8919
-2.97757,2.89252,-1.64947,302.072,349.532,16.1479,9,8191,29.2496,31.6956,28.6381,96.8858
-3.05689,2.69201,-1.50592,302.092,349.621,16.1459,10,8191,29.2095,31.7142,28.5834,96.8913
-3.09305,2.30926,-1.30554,302.163,349.751,16.1452,1,8191,29.2101,31.6919,28.5896,96.89
-3.09862,2.33704,-1.33232,302.157,349.754,16.1353,2,8191,29.2459,31.7018,28.6319,96.8864
-3.19132,2.48721,-1.04029,302.111,349.684,16.1269,3,8191,29.1996,31.6845,28.5784,96.8839
-3.4078,2.83132,-0.789961,302.13,349.786,16.1314,4,8191,29.1951,31.6771,28.5747,96.887
-3.11415,3.06069,-0.663103,302.173,349.69,16.1267,5,8191,29.2116,31.6696,28.5971,96.878
-3.08884,3.05866,-0.652934,302.178,349.83,16.136,6,8191,29.214,31.6919,28.5946,96.8792
-3.24412,2.83876,-0.643359,302.134,349.733,16.13,7,8191,29.2255,31.6746,28.6132,96.887
-3.09549,2.98646,-0.838758,302.087,349.819,16.1268,8,8191,29.2596,31.6857,28.6531,96.8833
-3.00195,3.1807,-1.32049,302.077,349.767,16.1272,9,8191,29.2705,31.7006,28.663,96.8846
-2.84605,3.35471,-1.25113,302.129,349.763,16.1281,10,8191,29.2718,31.687,28.668,96.8797
-3.19874,3.29027,-1.28906,302.118,349.771,16.123,1,8191,29.2823,31.6498,28.6904,96.8805
-3.09411,3.33517,-0.979517,302.104,349.798,16.1256,2,8191,29.2457,31.661,28.6419,96.8894
-3.01191,3.19522,-1.02866,302.121,349.822,16.1233,3,8191,29.2628,31.682,28.658,96.8902
-2.8902,3.19769,-1.04152,302.096,349.664,16.1217,4,8191,29.2295,31.6944,28.6132,96.8894
-2.66914,3.26262,-1.30477,302.108,349.774,16.1234,5,8191,29.2091,31.6919,28.5884,96.8882
-2.53564,3.32433,-1.14422,302.114,349.899,16.1321,6,8191,29.2646,31.7105,28.6531,96.8906
-2.59434,3.30482,-1.05669,302.104,349.853,16.1289,7,8191,29.2932,31.6696,28.6991,96.8817
-2.68905,3.22389,-0.900037,302.119,349.786,16.1262,8,8191,29.2855,31.6709,28.6892,96.8876
-2.61619,3.08967,-0.907773,302.096,349.838,16.1276,9,8191,29.2701,31.6783,28.668,96.8841
-2.64265,3.18339,-0.990885,302.093,349.896,16.127,10,8191,29.3119,31.6734,28.7215,96.8805
-2.66082,3.18053,-0.948098,302.079,349.771,16.1252,1,8191,29.2711,31.6585,28.6742,96.8894
-2.58066,3.04811,-0.974613,302.07,349.882,16.1284,2,8191,29.2402,31.6634,28.6344,96.8882
-2.66505,3.18096,-0.873009,302.076,349.748,16.1207,3,8191,29.2718,31.6424,28.6792,96.8949
-2.4253,3.27768,-1.11618,302.129,349.967,16.1273,4,8191,29.2315,31.6845,28.6182,96.8949
-2.4804,3.32636,-1.04626,302.114,349.688,16.1204,5,8191,29.2616,31.7155,28.6481,96.889
-2.44353,3.23938,-1.15704,302.131,349.93,16.1179,6,8191,29.2735,31.6907,28.6692,96.8925
-2.42805,3.18128,-1.10136,302.149,349.785,16.1132,7,8191,29.2922,31.6944,28.6916,96.8894
-2.22755,3.03219,-1.59139,302.12,349.901,16.1209,8,8191,29.2589,31.687,28.6518,96.8846
-2.10566,2.88431,-1.42169,302.116,349.817,16.1169,9,8191,29.2775,31.6808,28.6767,96.8827
-1.68767,3.06139,-1.20247,302.152,349.828,16.1229,10,8191,29.2736,31.6659,28.6755,96.8864
-1.34335,3.21284,-1.40943,302.163,349.771,16.1239,1,8191,29.2673,31.6895,28.6618,96.8906
-1.28093,3.07634,-1.14362,302.202,349.835,16.1215,2,8191,29.2621,31.6684,28.6605,96.8894
-1.91623,3.00153,-0.679642,302.163,349.828,16.1322,3,8191,29.2964,31.6709,28.7028,96.8925
-2.13539,3.22669,-0.387752,302.126,349.78,16.1311,4,8191,29.2987,31.6771,28.7041,96.8979
-2.50479,2.84717,-1.22536,302.115,349.652,16.1319,5,8191,29.2626,31.656,28.6643,96.8925
-2.44153,2.94094,-1.0954,302.1,349.704,16.1338,6,8191,29.2797,31.7018,28.6742,96.8841
-2.30968,2.96989,-1.18532,302.098,349.677,16.1337,7,8191,29.2598,31.7068,28.6481,96.8888
-2.15782,3.06356,-1.0936,302.109,349.865,16.1384,8,8191,29.2243,31.6882,28.6083,96.8852
-2.16959,3.08295,-1.09396,302.147,349.841,16.1293,9,8191,29.2457,31.6956,28.6332,96.8868
-2.06758,2.87566,-1.22757,302.177,349.908,16.1303,10,8191,29.2813,31.6746,28.6829,96.8821
-1.89958,3.15362,-1.29819,302.196,349.806,16.1223,1,8191,29.2467,31.6857,28.6369,96.8803
-1.9233,3.35657,-0.886626,302.116,349.819,16.1218,2,8191,29.2178,31.6758,28.6033,96.8821
-2.0727,3.18732,-0.815493,302.128,349.788,16.1219,3,8191,29.2345,31.6845,28.622,96.8864
-1.98154,3.13629,-0.785517,302.123,349.708,16.1264,4,8191,29.2116,31.6746,28.5958,96.8864
-2.1222,3.05172,-0.494447,302.125,349.61,16.1314,5,8191,29.2303,31.6436,28.6269,96.8894
-2.04204,3.18174,-0.438322,302.158,349.655,16.1329,6,8191,29.2395,31.6696,28.6319,96.89
-1.9379,2.94708,-0.767172,302.191,349.76,16.1325,7,8191,29.2297,31.6808,28.617,96.8919
-1.67218,3.04267,-0.575522,302.166,349.796,16.1352,8,8191,29.2203,31.6634,28.6095,96.889
-1.21851,3.15369,-0.772265,302.168,349.777,16.1298,9,8191,29.2457,31.6511,28.6444,96.8913
-1.03988,3.07451,-0.498431,302.189,349.712,16.12,10,8191,29.2636,31.661,28.6643,96.8829
-0.642116,2.91267,-1.22956,302.146,349.777,16.1242,1,8191,29.2524,31.6647,28.6493,96.8852
-0.196695,2.98125,-1.08416,302.162,349.764,16.1307,2,8191,29.278,31.6783,28.678,96.8865
-0.244082,2.79377,-0.941061,302.178,349.701,16.1318,3,8191,29.2424,31.6746,28.6344,96.8823
-0.361473,2.73606,-0.948921,302.165,349.673,16.1288,4,8191,29.2611,31.6783,28.6568,96.8846
-0.333069,2.85496,-0.986526,302.192,349.631,16.1365,5,8191,29.2733,31.6696,28.6742,96.89
-0.688882,2.43431,-1.48961,302.2,349.701,16.1368,6,8191,29.2741,31.6585,28.678,96.8847
-0.542443,2.56524,-1.47701,302.178,349.595,16.1409,7,8191,29.2696,31.6709,28.6692,96.889
-0.187407,2.56697,-1.35973,302.169,349.523,16.149,8,8191,29.2656,31.6956,28.658,96.8878
-0.204514,2.52101,-1.10652,302.17,349.412,16.1442,9,8191,29.2807,31.7018,28.6755,96.8894
-0.499938,2.52697,-0.7839,302.201,349.558,16.1535,10,8191,29.2479,31.682,28.6394,96.8865
-0.507963,2.88481,-0.812443,302.218,349.594,16.1591,1,8191,29.2429,31.6721,28.6356,96.8853
-0.983883,2.90187,-0.771764,302.232,349.707,16.164,2,8191,29.2332,31.6634,28.6257,96.8817
-1.20965,2.86546,-0.897264,302.214,349.569,16.1572,3,8191,29.2691,31.6734,28.668,96.8852
